Symbol,ADANIPORTS,AIRTEL,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJFINSV,BPCL,COALINDIA,DRREDDY,EICHERMOT,HCLTECH,HDFCLIFE,HEROMOTOCO,HINDALCO,ICICIBANK,INDUSINDBK,INFY,IOC,JSWSTEEL,KOTAKBANK,LT,M&M,NESTLEIND,NTPC,POWERGRID,SBILIFE,SHRIRAMFIN,SUNPHARMA,TATASTEEL,TECHM,TITAN,TRENT,ULTRACEMCO
HCLTECH,0.5417017702138474,0.7561725411657246,0.9126445748345052,-0.08411532370847688,0.4531070592083128,0.718295265370612,0.7182130675015568,0.5988017833872471,0.7660183860143424,0.5821166122522631,1.0,0.5439920604536544,0.6386633802996236,0.43568857119406273,0.7440211813762342,-0.47836839149226623,0.9118857453784425,0.5575282197442144,0.6851424902878577,0.32415733863606755,0.656688004154914,0.30695468607703613,0.38791681847515136,0.6148101234323806,0.5251774682297444,0.7716276274571612,0.815199630421205,0.8720107185190515,0.7213944630889636,0.8070126252037605,0.7966566381450603,0.7288889492724342,0.8983240415303861
HDFCLIFE,0.11672872053270245,0.5526715696452175,0.4847198815986549,0.3550974300276132,0.5441649889235569,0.5567584282688461,0.6331768555457535,0.2635385796890112,0.4548013666052716,0.5858423988459746,0.5439920604536544,1.0,0.3906246439161365,0.7160379923826903,0.6166729792712744,-0.45097589328921917,0.6469488488822376,0.8179879038490863,0.6943521125004286,0.5680548965872009,0.5629969910555069,0.13078681698020278,0.1781463876017529,0.22953193139732384,0.11519446874371492,0.5662866333412365,0.6477810502707207,0.5031196290357299,0.2670384443485565,0.4694078262908234,0.6548002607761674,0.6387735186906632,0.45923081328402043
HEROMOTOCO,0.8365178169525755,0.9131578806313904,0.8137764858756905,-0.1309708896940938,0.8460757217029913,0.8961525122213466,0.8934171320812071,0.9295939824011271,0.7966240505849407,0.8915714427291501,0.6386633802996236,0.3906246439161365,1.0,0.4244518976093769,0.8665484984366886,-0.22250078351515373,0.6640359112372326,0.4453190489288475,0.8434977731610647,0.1908549881630155,0.926219924187094,0.7631885838380271,0.6914708076450481,0.8603057362405702,0.8912771969271263,0.8786083159945008,0.860324117774487,0.8364165145782927,0.8517967214697391,0.64220257810489,0.8544353813570084,0.9073827372459878,0.7884500563054245
HINDALCO,0.09140327970546037,0.4596383768975041,0.38817311016089434,0.6097370648344221,0.4743299961213247,0.521261994509803,0.7214818414892692,0.3123932130230348,0.5028090395442983,0.4554222934816584,0.43568857119406273,0.7160379923826903,0.4244518976093769,1.0,0.44253921496050164,-0.1392556544205748,0.7002113666818097,0.8607102631258964,0.4917832361694304,0.5757596647076644,0.42768583484557526,0.1432216374121779,0.36575100015050144,0.3009792299619309,0.17424982432831365,0.5643375275933081,0.5943180831424951,0.4106435321907312,0.3703733043112885,0.49722126624181295,0.5583737891565362,0.5859024184725896,0.3346765289008447
ICICIBANK,0.6646895259213496,0.9651229024122889,0.853108332428153,-0.21148834206597314,0.8196406924090632,0.8999805986635714,0.8652303433914885,0.8088457563649177,0.8110257955643366,0.9361140183732984,0.7440211813762342,0.6166729792712744,0.8665484984366886,0.44253921496050164,1.0,-0.559799197729387,0.7528906352932675,0.5884755710458882,0.9216764780528722,0.1700052951970691,0.9448783430448525,0.7039146224929248,0.47397841617973707,0.7886995887806134,0.7324683211505414,0.9177486198403854,0.9338218475420186,0.916250199436999,0.7553618856415562,0.5776602163273188,0.9477485769721367,0.8852319712858072,0.8457957703603988
INDUSINDBK,-0.002175283938974051,-0.5058896785542186,-0.44742545699775993,0.4419908719317089,-0.20532370062711805,-0.30499290747966196,-0.3075373521273481,-0.1913422531559499,-0.325339461585683,-0.4615035251942982,-0.47836839149226623,-0.45097589328921917,-0.22250078351515373,-0.1392556544205748,-0.559799197729387,1.0,-0.463750061114759,-0.35502622044654303,-0.4744066881687477,0.2048477839689136,-0.42068116863590327,-0.14643821745805288,0.34987439170646895,-0.2242506164133955,-0.0333640906244756,-0.3757646358045776,-0.4565203872021865,-0.5129218549648471,-0.1323477056810621,-0.012108324991340512,-0.5545163227986419,-0.31675060276799116,-0.45305274323992967
INFY,0.46661461088889317,0.7651921506467777,0.8431843255969421,0.1065844166263653,0.5402659338539675,0.7205589164517594,0.8263581873002602,0.6145824615001042,0.8215543220985179,0.6493004527167893,0.9118857453784425,0.6469488488822376,0.6640359112372326,0.7002113666818097,0.7528906352932675,-0.463750061114759,1.0,0.7552828501232116,0.6989658583587416,0.4038199321676432,0.6811552818330922,0.3102706725570744,0.3887629121034088,0.649910442055893,0.5055586088242024,0.8216806060658939,0.8493512086818669,0.8255322449634904,0.7366678343245674,0.7683542483037253,0.8236328581512684,0.7968390075824362,0.8281205428803133
IOC,0.15475642420975824,0.5888584561765754,0.5304592733613418,0.460887199858151,0.4640639935529281,0.6071027281565806,0.7412788543284239,0.36718372548256806,0.5534795122483149,0.5799661503388093,0.5575282197442144,0.8179879038490863,0.4453190489288475,0.8607102631258964,0.5884755710458882,-0.35502622044654303,0.7552828501232116,1.0,0.6254176072898842,0.4942594080958231,0.5347850186907461,0.20560694683888317,0.29048151081038764,0.38980913775107023,0.1959943835741109,0.643772267414203,0.6849811377607861,0.5622375841286458,0.43394941305958235,0.5775809082662346,0.6705344471464657,0.6322360992736168,0.4210182032033242
JSWSTEEL,0.6388662833277914,0.9198906655435689,0.8001061772877035,-0.060194282784913525,0.8111168615538316,0.8979206509748291,0.8636900640065467,0.7592022670169496,0.7131510254659621,0.9187468852001196,0.6851424902878577,0.6943521125004286,0.8434977731610647,0.4917832361694304,0.9216764780528722,-0.4744066881687477,0.6989658583587416,0.6254176072898842,1.0,0.2936143521641353,0.9292676100454215,0.6503201169860873,0.48964242931044794,0.6804280387466691,0.6434883210693901,0.8458468375893673,0.89498242752841,0.8434685238800746,0.6569240954445623,0.6005155842770041,0.9222858491624649,0.8773940650046235,0.7645973765833091
KOTAKBANK,0.10538943612490183,0.147710171685801,0.23473359973329858,0.5755714263989729,0.27550311697272756,0.2771981709041226,0.38339577435060834,0.07325351847188093,0.19722743562434317,0.13691247629436776,0.32415733863606755,0.5680548965872009,0.1908549881630155,0.5757596647076644,0.1700052951970691,0.2048477839689136,0.4038199321676432,0.4942594080958231,0.2936143521641353,1.0,0.1870326279522521,-0.09034413130558695,0.4000622539660265,0.03587294175747478,0.07736997232766848,0.22276162870926033,0.28480585839282047,0.1412766079576983,0.15662936959348445,0.49239081817308844,0.20867767091947664,0.38982707950665785,0.22687650841566553
